Timestamp,Total Water (Liters),Drinking (Liters),Cooking (Liters),Bathing (Liters),Washing Clothes (Liters),Dishwashing (Liters)
01-03-2024 00:00,107.91,7.25,12.72,64.72,10.87,15.54
01-03-2024 01:00,152.9,3.66,13.55,77.81,14.82,7.26
01-03-2024 02:00,185.51,3.11,5.78,33.3,12.5,7.02
01-03-2024 03:00,114.31,9.61,14.45,38.35,21.84,9.43
01-03-2024 04:00,88.77,4.34,13.85,70.38,41.67,12.96
01-03-2024 05:00,185.92,8.81,8.92,43.6,22.74,7.35
01-03-2024 06:00,152.59,3.68,11.87,67.44,33.06,17.89
01-03-2024 07:00,128.41,3.84,12.99,49.56,10.85,6.82
01-03-2024 08:00,91.45,5.92,8.43,73.3,18.2,17.83
01-03-2024 09:00,91.56,3.48,12.79,44.81,35.89,8.54
01-03-2024 10:00,137.06,6.98,8.86,38.24,31.67,9.87
01-03-2024 11:00,138.28,3.69,8.33,40.34,40.51,6.62
01-03-2024 12:00,76.98,3.3,11.68,76.8,23.62,7.15
01-03-2024 13:00,65.32,8.4,11.24,35.6,40.18,15.68
01-03-2024 14:00,117.48,3.38,12.89,35.53,10.63,6.33
01-03-2024 15:00,160.81,8.85,14.33,79.84,27.88,9.56
01-03-2024 16:00,53.27,7.72,9.97,77.44,41.35,7.75
01-03-2024 17:00,166.07,9.26,11.61,35.91,41.84,15.7
01-03-2024 18:00,186.25,3.93,13.85,49.89,27.61,16.66
01-03-2024 19:00,92.21,7.99,10.94,68.52,14.14,11.13
01-03-2024 20:00,193.62,9.76,12.6,71.03,18.23,5.42
01-03-2024 21:00,80.41,4.47,8.64,72.96,45.29,12.55
01-03-2024 22:00,154.4,6.49,13.15,57.78,45.28,16.29
01-03-2024 23:00,88.9,4.47,7.09,52.19,46.64,14.33
02-03-2024 00:00,93.26,6.97,8.39,46.46,31.91,15.46
02-03-2024 01:00,176.05,2.84,10.49,57.64,15.26,8.98
02-03-2024 02:00,130.48,4.49,10.74,64.68,37.78,12.79
02-03-2024 03:00,104.2,5.56,10.76,65.17,44.23,8.65
02-03-2024 04:00,186.76,8.96,13.99,66.24,11.77,5.83
02-03-2024 05:00,186.48,5.45,10.24,76.59,20.06,19.83
02-03-2024 06:00,50.48,9.04,10.63,73.96,10.63,6.51
02-03-2024 07:00,115.11,8.96,7.77,37.15,20.29,8.2
02-03-2024 08:00,117,2.39,8.02,33.51,23.28,8.59
02-03-2024 09:00,66.95,2.97,9.96,65.3,24.97,5.21
02-03-2024 10:00,82.41,5.88,14.13,42.16,40.05,6.02
02-03-2024 11:00,184,2.16,10.1,37.98,32.83,12.27
02-03-2024 12:00,152.99,3.47,10.38,44.09,42.66,18.15
02-03-2024 13:00,144.29,6.63,14.72,71.61,11.97,6.06
02-03-2024 14:00,135.84,8.3,12.34,52.11,43.11,11.28
02-03-2024 15:00,110.23,8.07,12.72,70.55,30.33,11.65
02-03-2024 16:00,122.58,3.92,8.31,44.57,45.55,19.16
02-03-2024 17:00,103.79,9.25,6.29,33.49,21.24,9.19
02-03-2024 18:00,103.51,8.2,11.33,43.2,14.34,18.99
02-03-2024 19:00,50.6,5.74,7.29,37.56,24.12,17.76
02-03-2024 20:00,51.34,6.67,10.12,47.6,31.08,6.9
02-03-2024 21:00,59.66,5.9,8.88,45.09,34.62,15.09
02-03-2024 22:00,117.31,8.58,12.49,65.2,38.67,19.54
02-03-2024 23:00,170.54,3.89,11.85,39.13,36.44,5.63
03-03-2024 00:00,67.78,3.57,9.64,72.51,33.05,6.54
03-03-2024 01:00,147.57,9.26,5.97,61.57,35.57,5.25
03-03-2024 02:00,143.06,7.33,12.04,65.63,17.05,16.95
03-03-2024 03:00,141.87,5.49,7.82,48.54,27.3,9.07
03-03-2024 04:00,157.21,2.66,6.44,54.71,15.52,5.05
03-03-2024 05:00,86.56,2.87,9.64,30.69,25.13,8.22
03-03-2024 06:00,134.22,4.77,11.58,52.61,36.26,19.14
03-03-2024 07:00,183.02,4.76,12.95,55.63,15.37,7.08
03-03-2024 08:00,128.85,2.13,8.34,42.82,48.38,10.54
03-03-2024 09:00,199.72,6.87,12.34,76.95,48.29,8.82
03-03-2024 10:00,147.86,3.58,10.22,79.09,40.93,17.41
03-03-2024 11:00,199.16,6.6,5.01,69.61,24.16,12.05
03-03-2024 12:00,52.78,6.31,14.77,65.56,37.38,15.92
03-03-2024 13:00,80.24,2.76,11.56,48.59,12.23,8.26
03-03-2024 14:00,120.46,9.08,6.19,62.2,31.4,13.71
03-03-2024 15:00,126.9,9.01,8.04,37.85,35.93,15.02
03-03-2024 16:00,111.77,5,14.71,54.77,42.81,18.97
03-03-2024 17:00,64.86,6.1,11.15,56.57,42.45,6.96
03-03-2024 18:00,138.08,8.47,11.68,75.3,24.34,18.89
03-03-2024 19:00,68.82,7.73,14.99,39.02,44.64,5.6
03-03-2024 20:00,169.89,4.98,12.25,65.1,20.95,7.36
03-03-2024 21:00,77.66,6.24,13.71,34.99,46.76,19.65
03-03-2024 22:00,143.18,3.9,13.69,77.49,42.96,10.08
03-03-2024 23:00,166.14,8.41,8,67.8,21,14.04
04-03-2024 00:00,165.03,9.37,7.28,44.43,21.64,18.95
04-03-2024 01:00,117.02,5.81,14.91,35.89,32.96,17.1
04-03-2024 02:00,165.91,5.8,10.43,56.38,15.44,8.91
04-03-2024 03:00,130.65,3.48,14.52,36.42,33.35,5.81
04-03-2024 04:00,114.27,5.56,8.49,51.95,17.97,11.87
04-03-2024 05:00,194.16,5.98,9.87,36.29,34.92,17.11
04-03-2024 06:00,129.08,8.13,8.93,50.84,23.31,12.12
04-03-2024 07:00,180.03,4.61,10.88,53.71,37.38,19.5
04-03-2024 08:00,63.27,8.98,10.42,74.51,18.98,8.61
04-03-2024 09:00,73.35,5.02,9.2,55.96,32.02,6.88
04-03-2024 10:00,189.5,5.24,11.68,40.74,46.98,12.75
04-03-2024 11:00,134.93,3.1,7.04,50.42,13.45,9.52
04-03-2024 12:00,119.67,4.22,13.83,36.99,33.96,9.73
04-03-2024 13:00,177.69,3.49,5.9,54.46,21.13,12.52
04-03-2024 14:00,169.15,6.56,13.2,73.52,44.85,6.56
04-03-2024 15:00,102.59,8.99,10.82,77.21,11.36,16.63
04-03-2024 16:00,145.64,5.98,12.4,71.1,35.87,18.16
04-03-2024 17:00,144.65,8.38,10.41,33.45,42.85,19.79
04-03-2024 18:00,116.26,4.87,8.2,30.29,31.79,6.5
04-03-2024 19:00,139.99,4.75,7.17,41.65,12.7,15.52
04-03-2024 20:00,192.51,9.27,6.46,30.31,49.99,18.56
04-03-2024 21:00,98.36,3.2,11.12,52.92,12.21,9.74
04-03-2024 22:00,57.77,5.15,11.9,40.09,40.75,11.36
04-03-2024 23:00,144.55,4.58,5.58,31.68,23.55,7.52
05-03-2024 00:00,149.8,7.94,10.82,71.98,36.61,13.6
05-03-2024 01:00,143.51,7.33,13.55,37.48,16.41,6.06
05-03-2024 02:00,166.8,3.6,8.17,30.8,33.43,11.82
05-03-2024 03:00,73.68,7.85,10.4,65.83,25.17,5.44
05-03-2024 04:00,55.75,3.92,7.05,59.96,41.15,9.88
05-03-2024 05:00,116.49,4.04,8.41,31.89,26.13,5.62
05-03-2024 06:00,59.88,2.06,9.79,47.7,13.46,19.7
05-03-2024 07:00,192.79,9.55,6.8,77.88,34.95,11.35
05-03-2024 08:00,170.11,5.8,8.38,43.41,43.52,17.18
05-03-2024 09:00,99.75,7.95,9.26,39.28,45.65,11.72
05-03-2024 10:00,196.46,8.32,11.4,72.4,28.86,14.11
05-03-2024 11:00,146.89,9.63,7.81,48.49,23.16,8.35
05-03-2024 12:00,128.34,4.35,9.4,68.28,43.91,8.78
05-03-2024 13:00,115.13,7.66,7.34,54.28,46.58,18.5
05-03-2024 14:00,136.27,4.48,6.32,68.69,46.68,6.84
